iter; type; time slot; d_nodes; s_nodes; pid; nslot; nhop
0; r; 29258; 1088; 679; 46; 16997; 5
0; r; 40159; 1088; 988; 90; 16379; 1
0; r; 44646; 1088; 774; 1; 44437; 5
0; r; 52338; 1088; 218; 9; 50685; 7
0; r; 58749; 1088; 719; 0; 58579; 3
0; r; 61954; 1088; 950; 66; 45550; 2
0; r; 101063; 1088; 93; 81; 80416; 10
0; r; 102985; 1088; 755; 61; 87196; 4
0; r; 147219; 1088; 542; 87; 124540; 7
0; r; 154272; 1088; 524; 101; 127650; 6
0; r; 156196; 1088; 443; 94; 131337; 8
0; r; 158762; 1088; 1017; 92; 134179; 1
0; r; 160044; 1088; 353; 33; 151176; 5
0; r; 163890; 1088; 55; 34; 154946; 9
0; r; 197224; 1088; 782; 67; 180743; 3
0; r; 200429; 1088; 780; 56; 186356; 3
0; r; 202352; 1088; 182; 5; 201539; 10
0; r; 231200; 1088; 1081; 93; 206408; 2
0; r; 240176; 1088; 953; 110; 210629; 1
0; r; 245946; 1088; 1067; 50; 233217; 5
0; r; 251075; 1088; 540; 54; 237395; 9
0; r; 252357; 1088; 505; 108; 223367; 8
0; r; 260690; 1088; 954; 85; 238491; 1
0; r; 286333; 1088; 758; 57; 272244; 2
0; r; 301080; 1088; 1053; 97; 275502; 1
0; r; 308131; 1088; 71; 78; 288265; 8
0; r; 317748; 1088; 1034; 49; 305157; 5
0; r; 318389; 1088; 463; 11; 316040; 10
0; r; 341468; 1088; 279; 3; 340984; 8
0; r; 354932; 1088; 1077; 100; 328802; 2
0; r; 358777; 1088; 77; 42; 347414; 8
0; r; 369035; 1088; 778; 83; 347876; 5
0; r; 380576; 1088; 644; 59; 365265; 4
0; r; 382498; 1088; 423; 13; 379728; 6
0; r; 397244; 1088; 835; 79; 377042; 6
0; r; 402372; 1088; 626; 38; 392542; 3
0; r; 412628; 1088; 361; 2; 412346; 7
0; r; 413269; 1088; 558; 14; 410173; 4
0; r; 424808; 1088; 810; 26; 417783; 3
0; r; 431857; 1088; 752; 58; 416551; 3
0; r; 432498; 1088; 183; 65; 416233; 7
0; r; 447884; 1088; 110; 31; 439452; 8
0; r; 460068; 1088; 702; 68; 443462; 6
0; r; 481868; 1088; 973; 16; 477962; 3
0; r; 510072; 1088; 678; 63; 494132; 5
0; r; 511355; 1088; 694; 7; 510080; 9
0; r; 535076; 1088; 936; 107; 506456; 5
0; r; 618421; 1088; 91; 30; 609992; 7
0; r; 622271; 1088; 512; 28; 614599; 5
0; r; 623553; 1088; 548; 111; 593580; 5
0; r; 630604; 1088; 905; 21; 625296; 4
0; r; 649835; 1088; 647; 29; 641637; 4
0; r; 667144; 1088; 562; 8; 665570; 8
0; r; 672273; 1088; 588; 25; 665715; 4
0; r; 687018; 1088; 1022; 123; 284589; 1
0; r; 689583; 1088; 684; 36; 680400; 4
0; r; 702404; 1088; 1070; 103; 674954; 4
0; r; 708814; 1088; 955; 148; 298948; 1
0; r; 722276; 1088; 969; 24; 716209; 5
0; r; 747273; 1088; 574; 109; 718269; 6
0; r; 760093; 1088; 706; 41; 748890; 5
0; r; 774193; 1088; 515; 71; 756382; 5
0; r; 775475; 1088; 1037; 91; 751110; 4
0; r; 790219; 1088; 547; 60; 774593; 5
0; r; 814579; 1088; 352; 52; 801192; 5
0; r; 840865; 1088; 521; 98; 815152; 5
0; r; 843430; 1088; 1012; 173; 421880; 2
0; r; 850481; 1088; 1086; 199; 420846; 1
0; r; 863942; 1088; 234; 22; 857904; 10
0; r; 864583; 1088; 522; 69; 847902; 5
0; r; 870352; 1088; 576; 6; 869444; 6
0; r; 878045; 1088; 408; 43; 866554; 8
0; r; 888302; 1088; 193; 86; 865707; 8
0; r; 894073; 1088; 357; 88; 871391; 7
0; r; 938943; 1088; 432; 76; 919757; 9
0; r; 957534; 1088; 767; 39; 946517; 6
0; r; 960097; 1088; 395; 95; 934627; 6
0; r; 970997; 1088; 495; 20; 965824; 11
0; r; 988949; 1088; 983; 129; 584698; 2
0; r; 1012669; 1088; 690; 204; 581825; 3
0; r; 1031264; 1088; 589; 47; 1018924; 4
0; r; 1031905; 1088; 1026; 19; 1027684; 7
0; r; 1032545; 1088; 347; 77; 1012850; 7
0; r; 1034468; 1088; 1011; 139; 628243; 3
0; r; 1041518; 1088; 87; 96; 1015955; 8
0; r; 1050492; 1088; 602; 80; 1030011; 7
0; r; 1062672; 1088; 11; 15; 1058832; 9
0; r; 1067800; 1088; 489; 40; 1056782; 5
0; r; 1069723; 1088; 914; 198; 640152; 2
0; r; 1102414; 1088; 853; 202; 671934; 2
0; r; 1108185; 1088; 1018; 261; 291463; 1
0; r; 1119725; 1088; 632; 55; 1105972; 7
0; r; 1125493; 1088; 289; 102; 1098820; 6
0; r; 1147291; 1088; 837; 160; 732642; 4
0; r; 1156265; 1088; 1020; 268; 336368; 1
0; r; 1162035; 1088; 543; 84; 1140691; 5
0; r; 1179342; 1088; 878; 138; 773294; 3
0; r; 1192806; 1088; 106; 72; 1174954; 9
0; r; 1200497; 1088; 956; 236; 392280; 1
0; r; 1206267; 1088; 912; 179; 783308; 3
0; r; 1212677; 1088; 627; 62; 1196806; 7
0; r; 1224217; 1088; 394; 147; 814765; 4
0; r; 1225499; 1088; 1069; 70; 1208432; 5
0; r; 1238320; 1088; 731; 17; 1234317; 7
0; r; 1238961; 1088; 1077; 187; 812831; 3
0; r; 1246012; 1088; 551; 134; 840809; 4
0; r; 1258831; 1088; 1039; 163; 844110; 3
0; r; 1265241; 1088; 1024; 104; 1237581; 8
0; r; 1271010; 1088; 988; 286; 447230; 1
0; r; 1273574; 1088; 82; 51; 1260398; 8
0; r; 1287035; 1088; 949; 192; 859942; 3
0; r; 1294730; 1088; 950; 255; 478326; 2
0; r; 1327421; 1088; 857; 242; 516228; 2
0; r; 1337034; 1088; 95; 23; 1330974; 8
0; r; 1342162; 1088; 147; 114; 1309817; 10
0; r; 1363958; 1088; 317; 27; 1356585; 8
0; r; 1365240; 1088; 326; 116; 964381; 5
0; r; 1371651; 1088; 982; 306; 541790; 2
0; r; 1389600; 1088; 830; 44; 1377895; 7
0; r; 1391522; 1088; 465; 48; 1378943; 9
0; r; 1418451; 1088; 546; 141; 1012071; 5
0; r; 1426145; 1088; 454; 121; 1024510; 5
0; r; 1426786; 1088; 610; 142; 1019746; 5
0; r; 1436400; 1088; 596; 74; 1417569; 8
0; r; 1462685; 1088; 406; 113; 1430381; 8
0; r; 1463967; 1088; 981; 246; 650881; 2
0; r; 1490894; 1088; 422; 115; 1090409; 5
0; r; 1506278; 1088; 470; 112; 1475681; 8
0; r; 1510124; 1088; 628; 18; 1506048; 9
0; r; 1524868; 1088; 917; 301; 695520; 2
0; r; 1549227; 1088; 228; 64; 1533144; 8
0; r; 1560767; 1088; 36; 4; 1560156; 9
0; r; 1576151; 1088; 127; 32; 1567541; 8
0; r; 1586407; 1088; 648; 166; 1168833; 4
0; r; 1596023; 1088; 373; 89; 1572808; 7
0; r; 1608848; 1088; 252; 176; 1187004; 5
0; r; 1627440; 1088; 668; 164; 1211844; 6
0; r; 1630646; 1088; 673; 203; 1199880; 5
0; r; 1631928; 1088; 919; 277; 810046; 2
0; r; 1651161; 1088; 1007; 165; 1234503; 5
0; r; 1660777; 1088; 81; 106; 1632252; 10
0; r; 1674880; 1088; 336; 12; 1672253; 8
0; r; 1677444; 1088; 198; 53; 1663784; 10
0; r; 1680650; 1088; 293; 161; 1265976; 5
0; r; 1690266; 1088; 577; 124; 1287649; 5
0; r; 1695394; 1088; 948; 312; 863680; 2
0; r; 1731936; 1088; 711; 131; 1327313; 5
0; r; 1755655; 1088; 781; 260; 938962; 3
0; r; 1762067; 1088; 714; 117; 1361039; 5
0; r; 1772323; 1088; 869; 140; 1365996; 6
0; r; 1772964; 1088; 823; 279; 950844; 3
0; r; 1794118; 1088; 691; 213; 993367; 3
0; r; 1813350; 1088; 522; 259; 996669; 4
0; r; 1837070; 1088; 944; 216; 1035256; 3
0; r; 1846045; 1088; 692; 258; 1029476; 3
0; r; 1851174; 1088; 791; 316; 1018560; 2
0; r; 1872968; 1088; 1057; 35; 1863982; 10
0; r; 1878095; 1088; 750; 300; 1049787; 3
0; r; 1879377; 1088; 715; 298; 1052253; 3
0; r; 1885146; 1088; 7; 99; 1859143; 10
0; r; 1926174; 1088; 205; 37; 1916464; 10
0; r; 1958226; 1088; 230; 169; 1539414; 6
0; r; 1962073; 1088; 873; 149; 1551510; 6
