iter; type; time slot; d_nodes; s_nodes; pid; nslot; nhop
0; r; 447112; 1088; 717; 131; 16564; 4
0; r; 456154; 1088; 485; 12; 454207; 4
0; r; 507639; 1088; 645; 23; 501464; 6
0; r; 512131; 1088; 919; 75; 492524; 1
0; r; 535234; 1088; 448; 114; 505870; 5
0; r; 557694; 1088; 266; 61; 541401; 10
0; r; 558977; 1088; 397; 130; 135755; 10
0; r; 580783; 1088; 686; 78; 560080; 4
0; r; 600030; 1088; 767; 70; 581813; 7
0; r; 601313; 1088; 885; 4; 600891; 3
0; r; 654532; 1088; 900; 95; 629207; 5
0; r; 673125; 1088; 918; 48; 661790; 2
0; r; 674407; 1088; 644; 47; 663180; 5
0; r; 675048; 1088; 938; 37; 665647; 4
0; r; 696208; 1088; 687; 86; 673927; 3
0; r; 698131; 1088; 1014; 92; 674002; 2
0; r; 705185; 1088; 1010; 89; 682465; 3
0; r; 728904; 1088; 749; 1; 728799; 8
0; r; 746214; 1088; 766; 15; 743316; 7
0; r; 754550; 1088; 801; 25; 747533; 6
0; r; 768651; 1088; 847; 11; 767347; 3
0; r; 778267; 1088; 1067; 81; 756822; 5
0; r; 783400; 1088; 1053; 111; 754635; 3
0; r; 786606; 1088; 219; 21; 780604; 7
0; r; 1252293; 1088; 879; 166; 438327; 2
0; r; 1256796; 1088; 490; 39; 1247174; 5
0; r; 1266423; 1088; 689; 76; 1246186; 4
0; r; 1292768; 1088; 182; 64; 1275419; 9
0; r; 1321015; 1088; 676; 5; 1320427; 7
0; r; 1368473; 1088; 267; 43; 1358135; 11
0; r; 1370396; 1088; 376; 16; 1366778; 12
0; r; 1389634; 1088; 600; 53; 1376650; 7
0; r; 1398615; 1088; 825; 50; 1386953; 9
0; r; 1399897; 1088; 775; 34; 1391310; 6
0; r; 1405027; 1088; 260; 65; 1387465; 6
0; r; 1424266; 1088; 954; 171; 609002; 1
0; r; 1435805; 1088; 599; 8; 1434852; 9
0; r; 1446060; 1088; 79; 72; 1427483; 9
0; r; 1453760; 1088; 915; 169; 638606; 2
