iter; type; time slot; d_nodes; s_nodes; pid; nslot; nhop
0; r; 14591; 1599; 423; 14; 7468; 10
0; r; 20994; 1599; 173; 0; 20520; 10
0; r; 22915; 1599; 994; 17; 14044; 4
0; r; 28677; 1599; 1466; 18; 19256; 3
0; r; 35079; 1599; 1372; 21; 25428; 5
0; r; 37640; 1599; 11; 32; 23954; 10
0; r; 38280; 1599; 219; 33; 24292; 9
0; r; 51084; 1599; 625; 20; 41539; 6
0; r; 54925; 1599; 395; 12; 49733; 7
0; r; 58767; 1599; 1378; 43; 39496; 5
0; r; 60688; 1599; 382; 4; 58784; 8
0; r; 64530; 1599; 944; 59; 36558; 5
0; r; 72214; 1599; 909; 44; 52496; 6
0; r; 72854; 1599; 1500; 58; 46386; 3
0; r; 76695; 1599; 542; 60; 48433; 7
0; r; 77976; 1599; 1230; 55; 52473; 3
0; r; 79897; 1599; 286; 2; 78076; 10
0; r; 83739; 1599; 1333; 47; 62325; 7
0; r; 87581; 1599; 881; 50; 65317; 9
0; r; 90143; 1599; 545; 23; 79833; 7
0; r; 91424; 1599; 1298; 54; 66626; 6
0; r; 102948; 1599; 1267; 27; 91011; 3
0; r; 105509; 1599; 851; 28; 93390; 8
0; r; 116395; 1599; 1366; 48; 94530; 8
0; r; 120237; 1599; 1332; 65; 89896; 7
0; r; 123441; 1599; 1425; 46; 102737; 6
0; r; 124722; 1599; 432; 39; 106268; 7
0; r; 545134; 1599; 604; 6; 542388; 13
0; r; 811333; 1599; 343; 68; 10901; 11
0; r; 813255; 1599; 1435; 76; 10185; 1
0; r; 815176; 1599; 160; 73; 13141; 12
0; r; 817738; 1599; 879; 75; 14731; 4
0; r; 827342; 1599; 1004; 78; 23093; 8
0; r; 830543; 1599; 1584; 71; 29048; 4
0; r; 834384; 1599; 1381; 100; 20224; 4
0; r; 836305; 1599; 237; 107; 20771; 8
0; r; 838226; 1599; 1037; 103; 23783; 4
0; r; 842067; 1599; 1305; 131; 14540; 3
0; r; 843988; 1599; 220; 79; 39277; 12
0; r; 861275; 1599; 762; 133; 32983; 9
0; r; 865756; 1599; 544; 123; 40448; 10
0; r; 868317; 1599; 705; 104; 53800; 7
0; r; 886246; 1599; 271; 122; 62844; 8
0; r; 902254; 1599; 1134; 115; 83884; 7
0; r; 906097; 1599; 1423; 136; 75723; 5
0; r; 908018; 1599; 1082; 80; 102941; 11
0; r; 910579; 1599; 718; 125; 85206; 5
0; r; 913781; 1599; 1150; 121; 91737; 3
0; r; 917623; 1599; 89; 72; 115913; 11
0; r; 918904; 1599; 568; 130; 91791; 9
0; r; 920186; 1599; 150; 105; 104735; 10
0; r; 921467; 1599; 1340; 106; 106016; 6
0; r; 923388; 1599; 415; 119; 101740; 9
0; r; 924029; 1599; 1255; 69; 122747; 7
0; r; 1335325; 1599; 239; 89; 523316; 10
1; r; 1; 1599; 1439; 57; 0; 1
1; r; 5123; 1599; 235; 8; 5122; 7
1; r; 5763; 1599; 817; 35; 5762; 9
1; r; 18568; 1599; 1488; 60; 18567; 7
1; r; 21769; 1599; 1590; 66; 21768; 3
1; r; 28811; 1599; 1576; 65; 28810; 5
1; r; 31371; 1599; 1484; 59; 31370; 9
1; r; 33293; 1599; 963; 39; 33292; 9
1; r; 35214; 1599; 1178; 45; 35213; 5
1; r; 36494; 1599; 1269; 49; 36493; 3
1; r; 38415; 1599; 310; 13; 38414; 7
1; r; 40976; 1599; 1145; 44; 40975; 5
1; r; 42897; 1599; 1465; 58; 42896; 4
1; r; 46098; 1599; 1271; 50; 46097; 2
