iter; type; time slot; d_nodes; s_nodes; pid; nslot; nhop
0; r; 6650; 624; 549; 0; 35; 1
0; r; 25401; 624; 487; 1; 1992; 4
0; r; 26713; 624; 621; 2; 541; 1
0; r; 60413; 624; 380; 3; 7243; 8
0; r; 79524; 624; 347; 4; 1300; 3
0; r; 88007; 624; 187; 5; 8265; 9
0; r; 95741; 624; 240; 6; 10851; 6
0; r; 124515; 624; 214; 7; 5919; 6
0; r; 142143; 624; 362; 8; 3303; 5
0; r; 570100; 624; 32; 12; 14584; 10
0; r; 572695; 624; 131; 18; 14980; 8
0; r; 581809; 624; 94; 19; 14993; 8
0; r; 586416; 624; 308; 20; 11228; 8
0; r; 608507; 624; 401; 21; 7804; 8
0; r; 626139; 624; 603; 22; 5918; 9
0; r; 643262; 624; 319; 23; 2717; 4
0; r; 681745; 624; 75; 24; 13650; 12
0; r; 689993; 624; 495; 25; 1413; 2
0; r; 803708; 624; 597; 26; 19; 1
0; r; 816613; 624; 377; 27; 10233; 9
0; r; 851744; 624; 289; 28; 8474; 6
0; r; 852387; 624; 541; 31; 3003; 3
0; r; 855600; 624; 372; 30; 9233; 3
0; r; 864609; 624; 376; 29; 20949; 9
0; r; 876203; 624; 380; 32; 23033; 8
0; r; 878780; 624; 475; 33; 18597; 9
0; r; 887166; 624; 248; 34; 9742; 6
0; r; 891793; 624; 616; 35; 2031; 4
0; r; 920987; 624; 110; 36; 7122; 10
0; r; 939680; 624; 578; 38; 19269; 8
0; r; 943526; 624; 183; 40; 11416; 8
1; r; 12830; 624; 574; 39; 12829; 1
1; r; 15394; 624; 493; 33; 15393; 2
1; r; 16676; 624; 594; 43; 16675; 3
1; r; 18599; 624; 618; 45; 18598; 2
1; r; 19881; 624; 597; 44; 19880; 1
1; r; 21804; 624; 499; 34; 21803; 2
1; r; 28854; 624; 537; 36; 28853; 4
1; r; 39108; 624; 564; 38; 39107; 5
1; r; 40391; 624; 424; 26; 40390; 2
1; r; 42954; 624; 469; 30; 42953; 2
1; r; 55134; 624; 155; 10; 55133; 11
1; r; 59620; 624; 490; 32; 59619; 4
1; r; 64747; 624; 258; 17; 64746; 8
1; r; 67952; 624; 337; 21; 67951; 6
1; r; 77570; 624; 375; 24; 77569; 11
1; r; 84620; 624; 516; 35; 84619; 3
