iter; type; time slot; d_nodes; s_nodes; pid; nslot; nhop
0; r; 18945; 624; 38; 0; 10914; 9
0; r; 38236; 624; 244; 1; 29594; 7
0; r; 50434; 624; 212; 8; 8245; 7
0; r; 83117; 624; 75; 4; 48197; 11
0; r; 104270; 624; 514; 7; 63132; 3
0; r; 105551; 624; 620; 11; 25543; 1
0; r; 106192; 624; 559; 9; 59926; 4
0; r; 107474; 624; 387; 3; 75661; 5
0; r; 113240; 624; 186; 2; 82257; 9
0; r; 126702; 624; 73; 6; 90837; 8
0; r; 133109; 624; 479; 12; 50979; 8
0; r; 154258; 624; 533; 5; 118898; 5
0; r; 198499; 624; 622; 19; 30267; 1
0; r; 202992; 624; 557; 16; 51051; 6
0; r; 204274; 624; 606; 13; 78420; 9
0; r; 238911; 624; 26; 15; 92696; 15
0; r; 253680; 624; 207; 14; 121942; 9
0; r; 804076; 624; 143; 10; 753983; 17
0; r; 808563; 624; 513; 24; 313283; 15
0; r; 814975; 624; 224; 23; 321331; 16
0; r; 816898; 624; 558; 21; 351546; 17
0; r; 818180; 624; 82; 22; 351343; 23
0; r; 820745; 624; 203; 26; 287040; 14
0; r; 847662; 624; 415; 18; 680864; 13
0; r; 854712; 624; 118; 29; 274757; 16
0; r; 858558; 624; 601; 31; 30474; 11
0; r; 863686; 624; 113; 17; 700304; 16
0; r; 875224; 624; 37; 30; 67648; 11
0; r; 879711; 624; 90; 27; 305182; 14
0; r; 922022; 624; 228; 33; 58782; 11
0; r; 933563; 624; 356; 32; 86962; 9
0; r; 945747; 624; 167; 39; 40268; 7
0; r; 956645; 624; 466; 36; 59753; 3
0; r; 973311; 624; 464; 34; 84060; 5
0; r; 977797; 624; 572; 46; 5332; 1
0; r; 982283; 624; 303; 37; 84958; 12
0; r; 997665; 624; 361; 42; 74445; 7
0; r; 1013054; 624; 104; 40; 105990; 12
0; r; 1025240; 624; 119; 45; 84512; 7
0; r; 1026521; 624; 207; 43; 94783; 8
0; r; 1053444; 624; 279; 48; 68156; 10
0; r; 1087456; 624; 130; 41; 166049; 18
0; r; 1096447; 624; 168; 47; 114083; 8
1; r; 5; 624; 524; 22; 4; 1
1; r; 1931; 624; 621; 29; 1930; 1
1; r; 7696; 624; 397; 13; 7695; 3
1; r; 19870; 624; 616; 27; 19869; 2
1; r; 35246; 624; 224; 7; 35245; 5
1; r; 42294; 624; 371; 12; 42293; 3
1; r; 49341; 624; 541; 23; 49340; 4
1; r; 53186; 624; 353; 11; 53185; 10
1; r; 54467; 624; 469; 17; 54466; 3
1; r; 56389; 624; 587; 25; 56388; 5
1; r; 58952; 624; 578; 24; 58951; 7
1; r; 71125; 624; 618; 28; 71124; 4
1; r; 80734; 624; 6; 0; 80733; 10
1; r; 94191; 624; 508; 21; 94190; 5
1; r; 107003; 624; 259; 9; 107002; 7
1; r; 108926; 624; 470; 18; 108925; 2
1; r; 114695; 624; 410; 15; 114694; 8
1; r; 136482; 624; 430; 16; 136481; 7
1; r; 137123; 624; 476; 19; 137122; 8
1; r; 147377; 624; 180; 5; 147376; 15
1; r; 149941; 624; 289; 10; 149940; 7
1; r; 150582; 624; 52; 1; 150581; 12
1; r; 154427; 624; 251; 8; 154426; 14
1; r; 160835; 624; 106; 2; 160834; 15
1; r; 173652; 624; 479; 20; 173651; 9
1; r; 177498; 624; 186; 6; 177497; 7
1; r; 197367; 624; 115; 3; 197366; 9
1; r; 237796; 624; 405; 14; 237795; 7
1; r; 805126; 624; 596; 65; 5125; 1
1; r; 833316; 624; 514; 60; 33315; 3
1; r; 836520; 624; 522; 61; 36519; 1
1; r; 846771; 624; 444; 50; 46770; 3
1; r; 857663; 624; 618; 66; 57662; 4
1; r; 858304; 624; 569; 62; 58303; 2
1; r; 859586; 624; 585; 64; 59585; 6
1; r; 862150; 624; 61; 33; 62149; 11
1; r; 872403; 624; 301; 43; 72402; 10
1; r; 874327; 624; 498; 56; 74326; 3
1; r; 878172; 624; 315; 44; 78171; 6
1; r; 882657; 624; 91; 35; 82656; 9
1; r; 883939; 624; 174; 39; 83938; 6
1; r; 889064; 624; 224; 41; 89063; 7
1; r; 894191; 624; 34; 32; 94190; 10
1; r; 901880; 624; 464; 54; 101879; 4
1; r; 908290; 624; 483; 55; 108289; 4
1; r; 912135; 624; 580; 63; 112134; 7
1; r; 913416; 624; 16; 30; 113415; 10
1; r; 916620; 624; 508; 58; 116619; 5
1; r; 919823; 624; 510; 59; 119822; 5
1; r; 937765; 624; 436; 49; 137764; 5
1; r; 940970; 624; 461; 53; 140969; 4
1; r; 942893; 624; 109; 37; 142892; 10
1; r; 949303; 624; 194; 40; 149302; 8
1; r; 961481; 624; 506; 57; 161480; 5
1; r; 986477; 624; 333; 45; 186476; 7
1; r; 991601; 624; 73; 34; 191600; 9
1; r; 1005058; 624; 376; 46; 205057; 10
1; r; 1031338; 624; 106; 36; 231337; 13
1; r; 1033260; 624; 400; 47; 233259; 11
1; r; 1051851; 624; 455; 52; 251850; 9
1; r; 1575922; 624; 429; 48; 555600; 15
1; r; 1595798; 624; 143; 38; 566179; 11
1; r; 1607984; 624; 31; 31; 598596; 19
2; r; 9615; 624; 458; 29; 9614; 5
2; r; 26275; 624; 498; 30; 26274; 3
2; r; 454337; 624; 291; 19; 454336; 6
2; r; 463982; 624; 81; 5; 463981; 11
2; r; 489725; 624; 213; 14; 489724; 8
2; r; 568234; 624; 157; 8; 568233; 16
2; r; 584917; 624; 105; 6; 584916; 15
2; r; 608010; 624; 42; 1; 608009; 13
2; r; 612500; 624; 200; 11; 612499; 15
2; r; 636857; 624; 29; 0; 636856; 11
2; r; 649035; 624; 381; 26; 649034; 9
2; r; 654804; 624; 312; 22; 654803; 19
2; r; 656727; 624; 65; 4; 656726; 9
2; r; 713138; 624; 308; 21; 713137; 14
2; r; 719549; 624; 343; 23; 719548; 23
2; r; 731733; 624; 199; 10; 731732; 24
2; r; 825390; 624; 364; 56; 25389; 6
2; r; 1285585; 624; 321; 51; 485584; 15
2; r; 1349192; 624; 10; 37; 549191; 14
2; r; 1359476; 624; 536; 62; 559475; 5
2; r; 1367196; 624; 493; 60; 567195; 23
2; r; 1398657; 624; 225; 47; 598656; 14
2; r; 1399943; 624; 354; 55; 599942; 10
2; r; 1402508; 624; 452; 59; 602507; 14
2; r; 1433939; 624; 170; 44; 633938; 16
2; r; 1441632; 624; 245; 48; 445685; 7
2; r; 1462785; 624; 302; 49; 662784; 22
2; r; 1482657; 624; 84; 40; 479939; 14
2; r; 1487144; 624; 330; 53; 687143; 19
2; r; 1522414; 624; 317; 50; 328573; 21
3; r; 2; 624; 573; 26; 1; 1
3; r; 21148; 624; 12; 0; 21147; 11
3; r; 46774; 624; 372; 11; 46773; 3
3; r; 49978; 624; 524; 21; 49977; 1
3; r; 53183; 624; 551; 24; 53182; 8
3; r; 55104; 624; 374; 12; 55103; 6
3; r; 67918; 624; 217; 6; 67917; 9
3; r; 68558; 624; 395; 13; 68557; 3
3; r; 70481; 624; 105; 3; 70480; 15
3; r; 77530; 624; 236; 8; 77529; 9
3; r; 88420; 624; 92; 2; 88419; 12
3; r; 92265; 624; 503; 19; 92264; 8
3; r; 97392; 624; 436; 15; 97391; 5
3; r; 110849; 624; 535; 23; 110848; 5
3; r; 113412; 624; 489; 18; 113411; 3
3; r; 126869; 624; 301; 10; 126868; 9
