iter; type; time slot; d_nodes; s_nodes; pid; nslot; nhop
0; r; 3426; 1599; 1103; 0; 3206; 6
0; r; 20712; 1599; 1569; 19; 15135; 7
0; r; 428092; 1599; 952; 20; 422357; 3
0; r; 459493; 1599; 1508; 61; 436536; 5
0; r; 461415; 1599; 83; 33; 451389; 11
0; r; 466540; 1599; 1381; 93; 37279; 4
0; r; 471666; 1599; 1328; 3; 471081; 13
0; r; 478072; 1599; 291; 92; 49116; 10
0; r; 483196; 1599; 834; 7; 481504; 12
0; r; 491523; 1599; 1235; 58; 470948; 2
0; r; 500493; 1599; 1441; 79; 471927; 11
0; r; 521629; 1599; 386; 54; 503092; 7
0; r; 529315; 1599; 216; 91; 104211; 11
0; r; 542765; 1599; 1240; 81; 513878; 12
0; r; 549171; 1599; 824; 16; 544800; 7
0; r; 551733; 1599; 922; 40; 539000; 27
0; r; 556218; 1599; 1296; 42; 542512; 10
0; r; 558139; 1599; 743; 76; 531154; 9
0; r; 561982; 1599; 1403; 51; 544502; 13
0; r; 564544; 1599; 98; 65; 540511; 23
0; r; 581834; 1599; 212; 1; 581529; 24
0; r; 585677; 1599; 848; 41; 572246; 18
0; r; 602969; 1599; 756; 24; 595750; 16
0; r; 610012; 1599; 211; 12; 606743; 14
0; r; 618335; 1599; 728; 28; 609893; 21
0; r; 622818; 1599; 1554; 2; 622237; 22
0; r; 624099; 1599; 1319; 57; 603859; 14
0; r; 630503; 1599; 805; 89; 598219; 21
0; r; 633065; 1599; 30; 9; 630720; 21
0; r; 640109; 1599; 1162; 67; 615504; 27
0; r; 644591; 1599; 872; 84; 614543; 22
0; r; 650994; 1599; 713; 4; 650286; 7
0; r; 652274; 1599; 1340; 63; 628599; 22
0; r; 663160; 1599; 709; 82; 633664; 13
0; r; 668923; 1599; 567; 66; 644736; 15
0; r; 672765; 1599; 1422; 74; 646360; 22
0; r; 674046; 1599; 1417; 71; 648014; 19
0; r; 677888; 1599; 1217; 43; 663125; 17
0; r; 682371; 1599; 455; 69; 656413; 16
0; r; 684292; 1599; 1194; 36; 672722; 24
0; r; 693897; 1599; 364; 8; 692181; 20
0; r; 697099; 1599; 168; 55; 677639; 19
0; r; 701581; 1599; 1529; 62; 678412; 27
0; r; 702862; 1599; 121; 85; 672733; 22
0; r; 704783; 1599; 1; 14; 701312; 26
0; r; 711187; 1599; 1200; 50; 694221; 14
0; r; 720151; 1599; 849; 47; 703640; 20
0; r; 722713; 1599; 1491; 70; 696703; 19
0; r; 725275; 1599; 882; 32; 715762; 26
0; r; 731039; 1599; 754; 30; 721833; 22
0; r; 734881; 1599; 1301; 18; 729921; 24
0; r; 737442; 1599; 190; 83; 707423; 23
0; r; 738083; 1599; 516; 52; 720345; 22
0; r; 743206; 1599; 84; 87; 711668; 18
0; r; 752812; 1599; 300; 60; 730081; 25
0; r; 764338; 1599; 221; 48; 747738; 29
0; r; 774585; 1599; 1505; 17; 769935; 23
0; r; 775866; 1599; 827; 29; 767066; 31
0; r; 776506; 1599; 741; 77; 749328; 28
0; r; 778428; 1599; 775; 73; 752203; 38
0; r; 786754; 1599; 1196; 15; 783003; 24
0; r; 788035; 1599; 431; 53; 769812; 23
0; r; 796363; 1599; 375; 13; 793002; 19
0; r; 818131; 1599; 1040; 110; 14097; 9
0; r; 1227297; 1599; 1596; 139; 414903; 5
0; r; 1256795; 1599; 861; 171; 427935; 5
0; r; 1273455; 1599; 794; 177; 442058; 6
0; r; 1288830; 1599; 143; 148; 472686; 9
0; r; 1315733; 1599; 471; 98; 514615; 9
0; r; 1324058; 1599; 189; 174; 493656; 9
0; r; 1329180; 1599; 1270; 101; 527164; 6
0; r; 1336225; 1599; 1488; 103; 533778; 8
0; r; 1337506; 1599; 1136; 118; 531769; 8
0; r; 1343269; 1599; 1021; 136; 531127; 16
0; r; 1347752; 1599; 898; 99; 546450; 15
0; r; 1349034; 1599; 1158; 176; 518158; 6
0; r; 1358643; 1599; 1301; 115; 553683; 8
0; r; 1361205; 1599; 663; 160; 536949; 6
0; r; 1362486; 1599; 1037; 157; 539400; 16
0; r; 1365688; 1599; 1141; 179; 533493; 18
0; r; 1385546; 1599; 1466; 151; 568185; 8
0; r; 1397073; 1599; 1409; 116; 592076; 12
0; r; 1406041; 1599; 591; 132; 595870; 14
0; r; 1410523; 1599; 466; 127; 601841; 20
0; r; 1416926; 1599; 1217; 145; 602163; 18
0; r; 1418848; 1599; 830; 180; 586609; 18
0; r; 1443180; 1599; 949; 166; 615825; 23
0; r; 1453428; 1599; 893; 172; 623788; 16
0; r; 1455349; 1599; 573; 168; 627100; 15
0; r; 1467515; 1599; 1594; 95; 667081; 19
0; r; 1469436; 1599; 1053; 150; 653030; 17
0; r; 1477761; 1599; 44; 169; 649404; 17
0; r; 1479681; 1599; 194; 119; 672638; 21
0; r; 1486085; 1599; 381; 107; 683370; 17
0; r; 1490568; 1599; 1035; 123; 682425; 20
0; r; 1495050; 1599; 1184; 109; 691352; 13
0; r; 1496971; 1599; 1340; 158; 673296; 29
0; r; 1500813; 1599; 629; 155; 681294; 20
0; r; 1505295; 1599; 1238; 129; 695981; 28
